reviewText,summary,sentiment,review_length,VADER_Sentiment,TextBlob_Sentiment
love this product  great fit,Five Stars,Positive,5,Positive,Positive
the shoes fit perfectly and came within the time frame i was given  very comfortable which is needed since my job requires a lot if standing abd walking throughout the day,Great shoe!,Positive,31,Positive,Positive
great product and fast shipping,Five Stars,Positive,5,Positive,Positive
size colour and print all above average but does not wash great,Cold wash or you'll be handing this down,Positive,12,Negative,Positive
great arch support and cushion both for the heel and ball of the foot great aerobic shoe,Nice Support,Positive,17,Positive,Positive
i bought these sneakers for boot camp class  they are very light weight and different than other sneakers that i have owned  have only used them a few times but like them so far,but like them so far,Positive,34,Positive,Positive
excelente,Five Stars,Positive,1,Neutral,Neutral
daughter loves them,Five Stars,Positive,3,Positive,Neutral
i have been wearing for a solid week during my work outs  they are great for comfort and they are light weight,Love these shoes,Positive,22,Positive,Positive
favorite nikes ever i already owned this style and was ready for a new pair so i went with these love the color and they fit great,Favorite Nikes ever,Positive,27,Positive,Positive
this pair fits perfectthe first pair was wrong size in the right boxdefinitely order again,Five Stars,Positive,15,Negative,Positive
love these shoes workout in them 34 times a week at the gym i do treadmill stairmaster cardio classes and weight lifting lightweight and versatile shoe,Great shoe for the price!,Positive,26,Positive,Positive
i feel like this pair of shoes was made for my feet great fit and comfort very pleased with this purchase,I feel like this pair of shoes was made for my feet,Positive,21,Positive,Positive
"for the price i spent on the pair of shoes id say its as good as expected
its comfortable and does not hurt my feet when i run",Pretty comfortable pair of running shoes,Positive,28,Positive,Positive
wow these are the most comfortable light weight shoes i love them,so light & comfortable!,Positive,12,Positive,Positive
loved the products and services,Five Stars,Positive,5,Positive,Positive
nice,Three Stars,Neutral,1,Positive,Positive
the shoes are amazingvery comfortable and fit as expected highly recommended ,Amazing,Positive,11,Positive,Positive
super comfortable and extremely lightweight great for crossfit,Five Stars,Positive,8,Positive,Positive
they were a gift  to my daughter she loved them,Their Cute and Pink,Positive,10,Positive,Positive
they are ugly the toe is rounded and the material is weird the nike womens flex trainer 6 is way better looking and costs about the same,the Nike Womens Flex Trainer 6 is way better looking and costs about the same,Neutral,27,Negative,Negative
excellent,Five Stars,Positive,1,Positive,Positive
i love these shoes my second pair of 40 plus  shoes and they both have certainly out done the 100 kswiss that i am looking to return  the shoes are extremely comfortable all my clients love them just wish they came in more colors,I love these shoes my second pair of 40 plus $ ...,Positive,44,Positive,Positive
i bought these for my wife she saw them in the store but did not have their size so i ordered on amazon she loves them  she already had for a couple of months and no complains at all one of her favorites shoes for running or for her job since she walks a lot in the warehouse now she loves me more ,My wife loves these shoes.,Positive,63,Positive,Positive
i love this show,So happy.,Positive,4,Positive,Positive
they run big order a full size smaller,Four Stars,Positive,8,Neutral,Positive
my favorite cross trainers,Comfortable,Positive,4,Positive,Positive
my favorite nike shoe,Five Stars,Positive,4,Positive,Positive
loved the products and services,Five Stars,Positive,5,Positive,Positive
i love this shoes they are so comfortable,Five Stars,Positive,8,Positive,Positive
they are very comfortable feel like you have nothing on,Five Stars,Positive,10,Positive,Positive
bought these shoes with hiit in mind but not too sure how i like the fit on my foot first time to wear them not great for running maybe after they are broken in a little they will get better if you just need a comfortable pair of shoes for walking they are fine,OK,Neutral,54,Positive,Positive
i returned these as they were not true to size they ran large,Not true to size,Negative,13,Negative,Positive
i love this show,So happy.,Positive,4,Positive,Positive
sizing was perfect as ordered quality appears good still new not too much more to report,Correct size,Positive,16,Positive,Positive
no pockets and huge the bottom of the pants go over shoes,large with no pockets,Neutral,12,Positive,Positive
i have not even had them a month and the bottom is coming off i am not happy,Falling apart already!!,Negative,18,Negative,Negative
perfect,Five Stars,Positive,1,Positive,Positive
super comfortable and extremely lightweight great for crossfit,Five Stars,Positive,8,Positive,Positive
very nice shoe just a bit to snugsmall for my foot the flex wire really makes it the shoe fit tight to your foot i need more wiggle room in my footwear otherwise i would have kept them,Fits snug,Neutral,38,Positive,Positive
very comfortable and looks great,Five Stars,Positive,5,Positive,Positive
i loved these shoes when i got them i have noticed that the foam inside tends to compress during a workout though ill lace them tightly enough that they are nearly cutting off my circulation 20 minutes later i am sliding out of them while doing sled pushes,Foam compresses,Negative,48,Positive,Negative
great price for the product though the sizes tend to be bigger based on mens size i think  there was not a size chart to refer to when i was ordering so i ended up buying two each at a difference size,size runs big,Positive,42,Positive,Positive
excellent,Five Stars,Positive,1,Positive,Positive
good quality perfect fit  its a nike,Good Sneaker,Positive,7,Positive,Positive
second pair comfortable and great for people with bunion issues or previous surgeries  sole wears great,staple sneakers,Positive,16,Positive,Positive
nice looking and fit nice,Four Stars,Positive,5,Positive,Positive
nice looking and fit nice,Four Stars,Positive,5,Positive,Positive
average product  as described,Three Stars,Neutral,4,Neutral,Negative
my daughter loves them great fit,Great fit!,Positive,6,Positive,Positive
ugh way to large  is this for a man,Nope,Neutral,9,Negative,Positive
i bought a pair of these in my size but they are too small i can get my feet in them but not comfortably its too bad because i can tell the soles are comfortable of course now i have work them to work so i cannot return them,Get a half-size or more larger than usual.,Neutral,49,Negative,Negative
extremely well fitting and light weight,Five Stars,Positive,6,Positive,Positive
love these shoes i have worn them all day and found them really comfortable with no aching feet at the end of the day fantastic colour and true to size i also bought  nike womens flex supreme tr 3 pnk pwmtllc slvrcl grywhite training shoe and these shoes are slightly more comfortable than those even though they look very similar,Love them,Positive,60,Positive,Positive
size really depends on the brand  i wear a 65 in nike and they fit me perfectly  these shoes are comfortable they wrap around my feet like a bandage but do not restrict movement,Perfect for the gym,Positive,34,Positive,Positive
excellent ,Five Stars,Positive,1,Positive,Positive
cute shoe fit as expected and very comfortable,and very comfortable.,Positive,8,Positive,Positive
right one is slightly tight hope it will stretch out ,Four Stars,Positive,10,Positive,Positive
good product for the price  used very day and no problem,Five Stars,Positive,11,Negative,Positive
"love these shoes
so stylish and comfortable just got back from a trip to nyc black and white nikes and yoga pants are in high fashion right now",Love these shoes,Positive,28,Positive,Positive
love love love,Five Stars,Positive,3,Positive,Positive
love them fit exactly as expected in length and width i would definitely buy these again,Five Stars,Positive,16,Positive,Positive
super comfy,Five Stars,Positive,2,Positive,Positive
quick tranasaction  loved the shoes  would purchase from them again,Awesome shoes!!!,Positive,10,Positive,Positive
love them  very comfortable and great for weight training,Love them! Very comfortable and great for weight training,Positive,9,Positive,Positive
excellent ,Five Stars,Positive,1,Positive,Positive
wrong shoes,One Star,Negative,2,Negative,Negative
good fit and comfy  not so cushiony so definetly better for training and not for running or aerobics bought size 8 which is my usual size,Good choice for training shoe,Positive,26,Positive,Positive
they looked very cheap,Returned...looked cheap,Negative,4,Neutral,Positive
they fit perfectly these shoes are great for walking  so very comfortable love them,These shoes are great for walking - so very comfortable,Positive,14,Positive,Positive
they fit perfect extremely comfortable,Five Stars,Positive,5,Positive,Positive
great shoes,Five Stars,Positive,2,Positive,Positive
love this shoes so comfy and great very everyday use runs big,Fits wonderful,Positive,12,Positive,Positive
love these comfy shoes they fit like a glove,Five Stars,Positive,9,Positive,Positive
nice looking and fit nice,Four Stars,Positive,5,Positive,Positive
light weight and comfortable,Four Stars,Positive,4,Positive,Positive
my favorite nike shoe,Five Stars,Positive,4,Positive,Positive
i loved these shoes when i got them i have noticed that the foam inside tends to compress during a workout though ill lace them tightly enough that they are nearly cutting off my circulation 20 minutes later i am sliding out of them while doing sled pushes,Foam compresses,Negative,48,Positive,Negative
lightweight decent arch support and comfortably to wear all day doing regular activity and sprinting,decent arch support and comfortably to wear all day doing regular activity and sprinting,Positive,15,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
wrong shoes,One Star,Negative,2,Negative,Negative
nice shoes fit good,Five Stars,Positive,4,Positive,Positive
very comfortable shoes this is my second pair of this style of shoe because i loved them that much,Very comfortable shoes. This is my second pair of this ...,Positive,19,Positive,Positive
love it super comfortable and nice got more than i expected super flexible great for training definetly recommend it,Love it!! Definetly recommend it,Positive,19,Positive,Positive
fits good very lightweight,Four Stars,Positive,4,Positive,Positive
after my purchased i found out they are overpriced they feel good but i will not recommended if you need wide fit,They feel good but I will not recommended if you need Wide ...,Neutral,22,Positive,Positive
fits perfect,Five Stars,Positive,2,Positive,Positive
love these sneakers light weight and comfortable even without socks,"Comfortable, light weight, nice.",Positive,10,Positive,Positive
beautiful i love them comfy,Five Stars,Positive,5,Positive,Positive
great shoes lightweight and comfortable,Five Stars,Positive,5,Positive,Positive
great arch support and cushion both for the heel and ball of the foot great aerobic shoe,Nice Support,Positive,17,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
great shoe very comfortable,Five Stars,Positive,4,Positive,Positive
normally nike fits small so we go up a half size these actually fit to my wifes appropriate size so be ware when you order,Fit to actual size.,Positive,25,Positive,Positive
love these shoes they are true to size and very comfortable this is my second pair  i wore out the first pair good arch support  i have a high arch,Love these shoes,Positive,30,Positive,Positive
i love the shoe and it fit as expected the photos and description are accurate if you are looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it i am very satisfied with this purchase,I love the shoes and the description and photos were accurate,Positive,52,Positive,Positive
i love these shoes  they fit as expected and they look really nice on  these shoes have a narrow base which i really like  i do not like the ones that make your foot look wide,I love these shoes,Positive,36,Positive,Positive
arrived on time i probably should have gone with a 75 instead of an 8 because they do seem a little big but if i wear thick socks they are fine also they can sometimes make a very annoying squeaky noise when i run on certain surfaces so i am trying to get them worn in overall i am satisfied with my purchase,but if I wear thick socks they are fine. Also,Positive,63,Positive,Negative
comfortable shoe  first time i have ever bought nikes that feel so large  it feels about 12 size too big  i bought 75  i normally wear exactly that size and on occasion an 8,Runs large,Negative,34,Positive,Positive
they fit perfect extremely comfortable,Five Stars,Positive,5,Positive,Positive
returning these the pictures on here make the shoe appear all black with a touch of pink in the check however the whole shoe has pink coming through i was looking for an all black shoe i ordered the nike womens flex supreme tr3 instead and love them,I ordered the Nike Women's Flex Supreme TR3 instead and love them!,Negative,48,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
great shoe very comfortable,Five Stars,Positive,4,Positive,Positive
serves intended purpose,Good shoe,Positive,3,Neutral,Neutral
this is my second pair of these shoes  i love the fit and they provide support for walking  i like the way the shoes fit around my ankle as many shoes are uncomfortable because they come up too high in the back  try them,I love the fit and they provide support for walking,Positive,44,Positive,Positive
the shoe is too large when you do lunges it hurts the heel the shoe size from a local store is the size i ordered from amazon however the size or fitting seems to be large,somewhat large fit,Neutral,36,Negative,Positive
this is a shoe i will wear with black dress pants or jeans when i need comfort and a little style but i am not impressed  this is a very flimsy shoe with little support at all  not like any nike i have ever purchased in the past  it looks nice but its not comfortable,"LOOKS GOOD, FEELS ICKY!",Neutral,55,Negative,Negative
love this shoes so comfy and great very everyday use runs big,Fits wonderful,Positive,12,Positive,Positive
i loved these shoesthat is until after about an hour of wear the green inserts on the sole of the right show began falling off the wear was in my home on smooth floors i can only assume they were defective,I loved these shoes,Negative,41,Positive,Positive
i liked these shoes a lot very light weight i did not give a 5 because the color was a little lighter than i thought it was going to be but still a great shoe very comfortable,I liked these shoes a lot,Positive,37,Positive,Positive
cute and comfortable,Five Stars,Positive,3,Positive,Positive
perfect fit as always,5 stars,Positive,4,Positive,Positive
great shoe outside arch is kind of high but i am still breaking them in so i am sure that will work its way out i originally ordered a 9 my regular size and it was a tad too big returned and ordered an 85 and it fits perfect,Consider sizing down 1 size,Positive,49,Positive,Positive
love these shoes great fit very light weight,Five Stars,Positive,8,Positive,Positive
i love these and have them in a light blue too very light weight airy and comfortable,Five Stars,Positive,17,Positive,Positive
love these comfortable light weight great fit,Sooo comfortable,Positive,7,Positive,Positive
nice shoes,Five Stars,Positive,2,Positive,Positive
very nice shoe just a bit to snugsmall for my foot the flex wire really makes it the shoe fit tight to your foot i need more wiggle room in my footwear otherwise i would have kept them,Fits snug,Neutral,38,Positive,Positive
fit like gloves to my feet perfect for workouts,Five Stars,Positive,9,Positive,Positive
color was not at all what i expected  it was more orange then red  not sure that i am going to keep them,Color was not at all what i expected. It ...,Negative,23,Negative,Positive
they run big order a full size smaller,Four Stars,Positive,8,Neutral,Positive
i wear these everyday to work the gym etc,Five Stars,Positive,9,Neutral,Negative
love these shoes for circuit training,Five Stars,Positive,6,Positive,Positive
this shoe is just ok its not as comfortable as i was expecting compared to my last pair of nike shoes i hope they hold up,Its not as comfortable as I was expecting,Neutral,26,Positive,Positive
light weight and comfortable,Four Stars,Positive,4,Positive,Positive
this is a shoe i will wear with black dress pants or jeans when i need comfort and a little style but i am not impressed  this is a very flimsy shoe with little support at all  not like any nike i have ever purchased in the past  it looks nice but its not comfortable,"LOOKS GOOD, FEELS ICKY!",Neutral,55,Negative,Negative
i wore these shoe one time from the airport in omaha ne to the airport in phoenix az when i arrived in phoenix the left shoesole started squeaking and will not stop i want to return for a refund need instructions for returning as no paperwork was in my package when it arrived,Squeaky soles,Negative,53,Negative,Neutral
the fit was perfect i highly recommend this shoe,Five Stars,Positive,9,Positive,Positive
not sure why but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym i have owned other nike shoes of this line but that never happened to me,"Not sure why, but my mid section of my ...",Neutral,42,Negative,Negative
i have always gotten this size in nike shoes with similar description but these are too long at least an inch and 12,Too large,Negative,23,Neutral,Negative
i love these  i ordered an 85 which is my normal shoe size and they fit great  i used them for my strength training class and they performed well and they are sooooo pretty  comfortable low profile and stylish,LOVE!,Positive,39,Positive,Positive
nike always makes a good shoe abit rough breaking them in but after 9 hours on my feet anyones feet would hurt abit,Nike always makes a good shoe.,Positive,23,Negative,Positive
great shoes  was looking for something to replace my barefeet so i can wear orthotics while kickboxing these are light weight hug my feet comfortably and have a thinner upper so i can still feel the bag when i kick and they have good lateral stability my feet are on the narrow side so its hard to find shoes that are snug enough these are perfect oh and they are really cute too,Great for kickboxing,Positive,73,Positive,Positive
love these shoes workout in them 34 times a week at the gym i do treadmill stairmaster cardio classes and weight lifting lightweight and versatile shoe,Great shoe for the price!,Positive,26,Positive,Positive
love these shoes my feet have been weird since i was pregnant and my old shoes were uncomfortable these are very comfy and help me get active they are also stylish and go with anything,Love Love Love,Positive,35,Positive,Positive
i have always gotten this size in nike shoes with similar description but these are too long at least an inch and 12,Too large,Negative,23,Neutral,Negative
perfict fit for me great looking shoes at a great price,nice,Positive,11,Positive,Positive
she loves them,Five Stars,Positive,3,Positive,Neutral
after less than a week the sole ripped off on the outside of the shoe,Poor quality for Nike,Negative,15,Neutral,Negative
love these shoes great fit very light weight,Five Stars,Positive,8,Positive,Positive
straight out of the box these shoes are great very lightweight and fits comfortably on my feet like a glove i love most especially that the sole is not bulky like my previous running shoes  i hated those things lol i would give them a shot and they are great for the price,these shoes are great! Very lightweight and fits comfortably on my feet ...,Positive,53,Positive,Positive
i have worn these to work out for 5 days in a row now initially my arches ached but over time the discomfort subsided entirely i have done everything from bootcamps resistance training running and zumba so yeah they are truly crosstrainers ,Does the job!,Positive,42,Positive,Neutral
look great,Five Stars,Positive,2,Positive,Positive
lightweight comfy shoes,Four Stars,Positive,3,Neutral,Neutral
shoe was somewhat large,Size problem,Positive,4,Neutral,Positive
great arch support and cushion both for the heel and ball of the foot great aerobic shoe,Nice Support,Positive,17,Positive,Positive
they fit perfect extremely comfortable,Five Stars,Positive,5,Positive,Positive
super comfy,Five Stars,Positive,2,Positive,Positive
i bought these sneakers for boot camp class  they are very light weight and different than other sneakers that i have owned  have only used them a few times but like them so far,but like them so far,Positive,34,Positive,Positive
love this product  great fit,Five Stars,Positive,5,Positive,Positive
perfect fit brand new in new box completely perfect condition and on sale awesome highly reccomend super cute shoes,Super cute and on sale!!,Positive,19,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
"love these i have 3 pairstheyre so comfortable  i am on my feet all day  my feet actually do not hurt at the end of the day when i wear these 
i have learned to get these 12 size smallerim normally a size 7 and the 6 12 fit perfectly",Soooo comfortable.....,Positive,50,Positive,Positive
this is a great shoe for in gym workouts i did take a 10 mile hike and had a blister on my pinky but other than that these are very comfortable shoes,"True to size, would recommend",Positive,32,Positive,Positive
fit good,Five Stars,Positive,2,Positive,Positive
love them  i ordered an 85 because i usually wear that size but these are a bit big i wish i ordered an 8 they are really comfortable and i enjoy wearing them,"Look amazing, runs slightly big.",Positive,33,Positive,Positive
i bought these sneakers for boot camp class  they are very light weight and different than other sneakers that i have owned  have only used them a few times but like them so far,but like them so far,Positive,34,Positive,Positive
they fit great look great are quite comfortable and are just what i was looking for,Perfect cross trainers,Positive,16,Positive,Positive
after using this shoes seven times for regular activities like walking or dancing the sole came out i am very disappointed i do not recommend this product at all the worse part is that i can not return this item because the return window closed 4 days ago,Poor Quality. Don't buy.,Negative,48,Negative,Negative
good light weight shoehad to add insole for more support,Four Stars,Positive,10,Positive,Positive
great gift  she loved it  its a nice shoe,Five Stars,Positive,9,Positive,Positive
lightweight decent arch support and comfortably to wear all day doing regular activity and sprinting,decent arch support and comfortably to wear all day doing regular activity and sprinting,Positive,15,Positive,Positive
they fit as expected and perfect for training the shoelaces are a little bit too long other than that these shoes are as i expected them ,They fit as expected and perfect for training,Positive,26,Positive,Positive
love these shoes workout in them 34 times a week at the gym i do treadmill stairmaster cardio classes and weight lifting lightweight and versatile shoe,Great shoe for the price!,Positive,26,Positive,Positive
fit is fine but not much cushioning in the footbed the first time wearing them on a long walk i developed a blister on the bottom of my foot,Not my favorites...,Neutral,29,Positive,Positive
it looks a bit nicer on the picture its very light in such a way that when i held the box i wondered if there was just paper filling inside they are comfortable for the most good looking training shoes overall,They are comfortable for the most but just a bit narrow,Positive,41,Positive,Positive
i love these shoes i am rather basic when it comes to nikes i do not need all the cool colors so these look amazing and feel amazing like they were made for my feet i definitely suggest purchasing them,"Simple look, outstanding comfort!",Positive,40,Positive,Positive
i really like them,Four Stars,Positive,4,Positive,Positive
best shoes ever  i bought two pairs in different colors black n white and the pink and white  they have awesome support for whatever you use them for i have one for work and the other for trainingrunningetc in,BEST SHOES EVER!,Positive,39,Positive,Positive
comfortable athletic shoe  good for the gym ellipical tredmill etc fit is good and shoe is really lightweight and comfy,"Comfortable, lightweight Xtrainer",Positive,20,Positive,Positive
my favorite running shoes  the wall of the shoe is very thin which makes them very comfortable to wear if your feet swell as you run  i would not recommend for use on concrete or a treadmill as there is not very much impact absorption but they are perfect for trail running,Perfect for trails,Positive,52,Positive,Positive
the shoe fit has expected it is comfortable,It is comfortable.,Positive,8,Positive,Positive
the fit is as expected,Fits to size,Positive,5,Positive,Positive
excellent ,Five Stars,Positive,1,Positive,Positive
comfortable shoe  i would buy again,Four Stars,Positive,6,Positive,Positive
good shoes,Five Stars,Positive,2,Positive,Positive
my favorite cross trainers,Comfortable,Positive,4,Positive,Positive
my daughter loves these shoes fit true to size,Great looking shoe,Positive,9,Positive,Positive
picky daughter actually loves them,Worth it.,Positive,5,Positive,Neutral
i love my tennis shoes,Five Stars,Positive,5,Positive,Positive
love these shoes for circuit training,Five Stars,Positive,6,Positive,Positive
still breaking them in for use at the gym  i think once i get used to them they will work great  ,they'll work great!: ),Positive,21,Positive,Positive
very comfortable i love wearing them,Five Stars,Positive,6,Positive,Positive
love these sneakers perfect fit and super light,Five Stars,Positive,8,Positive,Positive
normally nike fits small so we go up a half size these actually fit to my wifes appropriate size so be ware when you order,Fit to actual size.,Positive,25,Positive,Positive
i workout at the local crossfit and find that these shoes help give me good support  with my endurance workouts,... crossfit and find that these shoes help give me good support with my endurance workouts,Positive,20,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
nice,Three Stars,Neutral,1,Positive,Positive
fits good very lightweight,Four Stars,Positive,4,Positive,Positive
very nice shoe just a bit to snugsmall for my foot the flex wire really makes it the shoe fit tight to your foot i need more wiggle room in my footwear otherwise i would have kept them,Fits snug,Neutral,38,Positive,Positive
best shoes ever  i bought two pairs in different colors black n white and the pink and white  they have awesome support for whatever you use them for i have one for work and the other for trainingrunningetc in,BEST SHOES EVER!,Positive,39,Positive,Positive
i really like them,Four Stars,Positive,4,Positive,Positive
love these shoes use them to workout inside and to work,Five Stars,Positive,11,Positive,Positive
i love these shoes my second pair of 40 plus  shoes and they both have certainly out done the 100 kswiss that i am looking to return  the shoes are extremely comfortable all my clients love them just wish they came in more colors,I love these shoes my second pair of 40 plus $ ...,Positive,44,Positive,Positive
they run big order a full size smaller,Four Stars,Positive,8,Neutral,Positive
i needed a wide size that option was not available so i went up a half size bigger hoping that would work its not quite comfortable but i am  able to wear them i like the shoes,Not quite wide enough,Positive,37,Positive,Positive
comfortable consistent each time i order and good looking,Sleek and sporty,Positive,9,Positive,Positive
fits good very lightweight,Four Stars,Positive,4,Positive,Positive
i love them they fit perfect and are very comfortable,Five Stars,Positive,10,Positive,Positive
i was really excited when i opened the box to see the color is exactly like the image shows i have the nike flex tr 5 and used the same size to order these they are a little bigger than expected but still comfortable,... opened the box to see the color is exactly like the image shows,Positive,44,Positive,Positive
size 5 very comfortable shoes love,Very comfortable shoes. Love,Positive,6,Positive,Positive
i absolutely love these shoes these are my absolute favorite so light and comfortable these are actually my 2nd pair i am still wearing my 1st pair after 2 years and they look good still i am just afraid they are going to disappear and i want a back up pair for when my 1st pair wears out these have been the best shoes i have owned,I absolutely LOVE these shoes,Positive,67,Positive,Positive
great arch support and comfortable,Great cross trainer,Positive,5,Positive,Positive
after my purchased i found out they are overpriced they feel good but i will not recommended if you need wide fit,They feel good but I will not recommended if you need Wide ...,Neutral,22,Positive,Positive
super comfortable and fit my small feet perfectly i have flat feet so a lot of shoes are not comfortable for long periods of time i can wear the shoe all day long and they are super comfortable they are light colored so any dirt will be seen right away but they are easy to clean compared to other shoes i have had would definitely buy another pair in a different color,LOVE my new sneakers!,Positive,72,Positive,Positive
my second pair love the fit light weight and great support,love the fit,Positive,11,Positive,Positive
i have wide feet and these were too narrow but very nice looking,Nike,Positive,13,Positive,Positive
love these shoes they are so comfortable,Five Stars,Positive,7,Positive,Positive
tried one in the store and bought it online but it was a different  kind of shoe  too big  different fit ,Tried one in the store and bought it online but ...,Negative,21,Positive,Positive
the sneakers are very comfortable and fit to size,Five Stars,Positive,9,Positive,Positive
i love this shoes they are so comfortable,Five Stars,Positive,8,Positive,Positive
look great,Five Stars,Positive,2,Positive,Positive
love these comfortable light weight great fit,Sooo comfortable,Positive,7,Positive,Positive
i love them they fit perfect and are very comfortable,Five Stars,Positive,10,Positive,Positive
very nicequick shipment,Five Stars,Positive,3,Neutral,Positive
comfortable athletic shoe  good for the gym ellipical tredmill etc fit is good and shoe is really lightweight and comfy,"Comfortable, lightweight Xtrainer",Positive,20,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
the fit was perfect i highly recommend this shoe,Five Stars,Positive,9,Positive,Positive
got them for my girlfriend she loves them says its like wearing slippers because they are incredibly light,Great shoes,Positive,18,Positive,Positive
i love these and have them in a light blue too very light weight airy and comfortable,Five Stars,Positive,17,Positive,Positive
not a lot of arch support but really lightweight,Four Stars,Positive,9,Positive,Positive
gracias,Five Stars,Positive,1,Neutral,Neutral
i use these for my cardio dance class and they are perfect and very cute i would definitely recommend they also cam earlier than expected,Great work out shoe,Positive,25,Positive,Positive
beautiful mirror finishvery comfortable looks great with my white gold engagement ring and you cannot beat the price i have another band like this in a different size that i have had for 2 years and the finish is still beautiful with no scratches if you want a beautiful ring at a great price i highly recommend the white tungsten carbide,Beautiful!!!,Positive,61,Positive,Positive
i have wide feet and these were too narrow but very nice looking,Nike,Positive,13,Positive,Positive
love them absolutely comfortable i am very picky with sneakers and this ones for the price are great i use them for cross fit  boot camp  they work great  the sole is very flexible  true size  i have a wide feet and they fit perfectly very nice looking great sneakers,Amazing training Sneakers.,Positive,50,Positive,Positive
good fit and comfy  not so cushiony so definetly better for training and not for running or aerobics bought size 8 which is my usual size,Good choice for training shoe,Positive,26,Positive,Positive
i love these shoes and have worn them for a long time that are comfy thinner on the top  sole and are very cute,Very Good For Everyday,Positive,24,Positive,Positive
the fit is as expected,Fits to size,Positive,5,Positive,Positive
i only give four stars because the pants have no pockets,Four Stars,Positive,11,Negative,Neutral
nike always makes a good shoe abit rough breaking them in but after 9 hours on my feet anyones feet would hurt abit,Nike always makes a good shoe.,Positive,23,Negative,Positive
i ordered a 12 size smaller than my usual size and they are perfect these shoes are hard to find great customer service as well,Good shoes,Positive,25,Positive,Positive
oops i returned these because i ordered wrong size,One Star,Negative,9,Negative,Negative
put them on and walked 3 hours with no problem love them so light feeling,Love them! So light feeling,Positive,15,Positive,Positive
"the best sneakers by far i had never owned a pair of nike sneakers and i went solely on the reviews by others
and i absolutely loved them",the best sneakers by far,Positive,28,Positive,Positive
fits good very lightweight,Four Stars,Positive,4,Positive,Positive
love it super comfortable and nice got more than i expected super flexible great for training definetly recommend it,Love it!! Definetly recommend it,Positive,19,Positive,Positive
super comfortable i joined cross fit and this is the perfect shoe,Super comfortable. I joined Cross Fit and this is ...,Positive,12,Positive,Positive
i always wear a womans 9 in nikes but these are bigger than usual the right one almost slips off my foot a bit  they are really light and not as sturdy as what i was looking for but over all not bad,They are really light and not as sturdy as what I was looking for but over all ...,Neutral,43,Positive,Positive
quick tranasaction  loved the shoes  would purchase from them again,Awesome shoes!!!,Positive,10,Positive,Positive
i feel like this pair of shoes was made for my feet great fit and comfort very pleased with this purchase,I feel like this pair of shoes was made for my feet,Positive,21,Positive,Positive
i actually have 3 pairs of these trainers  they are very comfortable there is a neoprene sleeve that goes around your ankle that makes them the most comfortable for me compared to normal athletic shoes  they run a little narrow  for me this is perfect but you may want to round up on the size or try on in the store first if your feet are on the wider side,Great,Positive,70,Positive,Positive
so lightweight and awesome,Five Stars,Positive,4,Positive,Positive
daughter loves them,Five Stars,Positive,3,Positive,Neutral
comfortable and lightweight need a good training shoe that is also supportive and flexible  i really like the fit but had to get 12 size larger as this style in my size is too perfect from heel to toe,Comfortable and lightweight,Positive,39,Positive,Positive
these shoes are great  this is the second pair that i have purchased and i love them,Really Comfortable Shoes,Positive,17,Positive,Positive
i bought these sneakers for boot camp class  they are very light weight and different than other sneakers that i have owned  have only used them a few times but like them so far,but like them so far,Positive,34,Positive,Positive
absolutely love these shoes and color they are perfect for running i run roughly 4 miles 3x per week this is my second or 3rd pair of this exact style fit is perfect,Absolutely love these shoes and color,Positive,33,Positive,Positive
great shoe very comfortable,Five Stars,Positive,4,Positive,Positive
fit to size comfortable,Five Stars,Positive,4,Positive,Positive
i love these shoes so much that  i reordered another pair online its hard to find shoes that fit my really wide feet the heel back is my favorite part on them they are thin and feel like another layer of skin not bulky or tight at all  i walked all over europe in these,I love these shoes so much that I reordered another pair ...,Positive,55,Positive,Positive
i love these shoes so much that  i reordered another pair online its hard to find shoes that fit my really wide feet the heel back is my favorite part on them they are thin and feel like another layer of skin not bulky or tight at all  i walked all over europe in these,I love these shoes so much that I reordered another pair ...,Positive,55,Positive,Positive
this is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas unfortunately the ones i ordered from smartdestination must be seconds as they kill my feet the hard plastic insert rubs on the outside edges of my feet i am unable to exchange them as i waited one day too late to use them in my walking shoes,Not the same as all my other pairs.,Negative,66,Negative,Negative
excellent,Five Stars,Positive,1,Positive,Positive
put them on and walked 3 hours with no problem love them so light feeling,Love them! So light feeling,Positive,15,Positive,Positive
super light weight comfortable kick box in these and run too good support,Super light weight versatile,Positive,13,Positive,Positive
comfortable shoe for both workout sessions and walking  neither too bulky nor too light  this is my second pair because they fit and have no neon or pink colors just nice basic bw,Comfortable shoe for both workout sessions and walking,Positive,33,Positive,Positive
the shoes are true to size i am used to wearing running shoes so these have been an adjustment overall the shoe is nice and provides well for my hiit and grit classes i take,the shoe is nice and provides well for my HIIT and Grit classes ...,Positive,35,Positive,Positive
most comfortable training shoes i have worn in a long time,Lightweight yet supportive,Positive,11,Positive,Positive
